,file_name,phoneme
0,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_2249c5f2f75d4b089bee1f36e1a7aef2.wav,ɑ̃[PAD]naʒ
1,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_3eff2b8d9be54f24aaa5f0bf3ef81c50.wav,[PAD][UNK][PAD]
2,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_56dbefb3163a44beab895890b503600f.wav,seaʃ[PAD]øval
3,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_5c6cef80aa54470caa4df67c9003aecc.wav,onaʒ
4,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_620b6b5984f14b0c90432d5a123e2106.wav,omaʒ
5,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_62fc4932a42d48069359d1440834e5bd.wav,[PAD][UNK][PAD]
6,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_6a766174281f410680ecd058a69e4b98.wav,apital
7,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_72b5a272edaf4d49828bc07b99d89501.wav,laʒ
8,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_74e63a09d5164d319591e5ff1c9813aa.wav,plabiʁ[PAD]la[PAD]abiʁ
9,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_74f9d375d07e4011acdafd660ad1c677.wav,patyl
10,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_81fde63f5c1a4b77a0bc9ee5c2e4b9d8.wav,anaʁi
11,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_82d2a6815afd4b3bbe1ddc866b993fdd.wav,[PAD][UNK][PAD]
12,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_a7b8dec9763240d8bf5641984c141cbc.wav,lomo
13,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_b302c6c515384d94b0c9b481fa5f58a2.wav,[PAD][UNK][PAD]
14,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_b404a514e2354e7e8b3e4c436fed164c.wav,ɔ̃dɛ̃
15,3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_b5bbc9668f3f493dbd126f9f07039703.wav,adjo
