file_name,participant_id,phase,language,form,config_id,config,API_target,trial_answer_coder1,accuracy_coder1,notes_coder1,trial_answer_coder2,accuracy_coder2,notes_coder2,trial_answer_coder2_phonemized
1001_edugame2023_59aa8ecf74c44db2adf56d71d1705cf5_1de23ac3deaf4b4d8c7db6d0cc9d6bfe.wav,1001,PSEUDO,it,B,config_B_pseudo_1,vuso;seca;clofeno;ranviglio;dape;tarse;dorizza;pradeglia;arlo;begnole;flavestro;cugnaripo,ˈvuzo;ˈseka;kloˈfeno;ranˈviʎʎo;ˈdape;ˈtarse;doˈrittsa;praˈdeʎʎa;ˈarlo;beɲˈɲole;flaˈvestro;kuɲaˈripo,vuso sega clofeno raviglio dape tarse dorizza pradeglia arlo begnole flavestro cugnaripo,1 0 1 0 1 1 1 1 1 1 1 1,,vuso sega clofeno raviglio da.pe tarse dorizza prateglia a.r.lo begnole fla.vestro cugnarippo,1 0 1 0 1 1 1 0 1 1 1 1,sounding_out,v u z o[PAD]s e ɡ a[PAD]k l ɔ f e n o[PAD]r a v i ʎ ʎ o[PAD]d a u n k p e[PAD]t a r s e[PAD]d o r i t t͡s a[PAD]p r a t e ʎ ʎ a[PAD]a j u n k r u n k l o[PAD]b e ɲ ɲ o l e[PAD]f l a u n k v ɛ s t r o[PAD]k u ɲ ɲ a r i p p o
1001_edugame2023_59aa8ecf74c44db2adf56d71d1705cf5_d9392071a39547488ad68ac4a108751d.wav,1001,PSEUDO,it,B,config_B_pseudo_2,istro;bismoggo;sirfelone;chetinare;borte;foneggio;caglidabo;pachetenta;bitto;egnamisa;nagrosto;vusciacope,ˈistro;bisˈmoɡɡo;sirfeˈlone;ketiˈnare;ˈborte;foneˈdʒo;kaɡliˈdabo;pakeˈtenta;ˈbitto;eɲaˈmisa;naˈɡrosto;vuʃaˈkope,isto bis.mo.ggo sir.felone che.ttinare borte fone.ggio ca.gli.da.bo pacchetante bippo egnamisa nagro.sto fusciapole,0 1 1 1 1 1 1 0 0 1 1 0,sounding_out,istro bis.moggo sir.felo.ne chettinare borte foneggio cagli.da.bo pacchettante bippo egnamisa nagrosto fusciappole,1 1 1 1 1 1 1 0 0 1 1 0,sounding_out,i s t r o[PAD]b i z u ɛ n k m ɔ ɡ ɡ o[PAD]s i r u n k f e l o u n k n e[PAD]k e t t i n a r e[PAD]b ɔ r t e[PAD]f o n e d d͡ʒ o[PAD]k a ʎ ʎ i u n k d a u n k b o[PAD]p a k k e t t a n t e[PAD]b i p p o[PAD]e ɲ ɲ a m i z a[PAD]n a ɡ r ɔ s t o[PAD]f u ʃ ʃ a p p o l e
1001_edugame2023_e0304994bb364a74a1068abe1c1c0b9b_6757c2f99a654cb2b24b714018a5dc95.wav,1001,WORD,it,B,config_B_complex_2,strage;minestra;appartamento;caposcuola;taglia;farfalla;medaglietta;caffettiera;stringa;gessetto;cartoncino;cassaforte,ˈstraʒe;miˈnestra;appartaˈmento;kapoˈskwola;ˈtaʎʎa;farˈfalla;medaʎˈʎetta;kaffetˈtjera;ˈstrinɡa;dʒesˈsetto;kartonˈtʃino;kassaˈforte,{s.}strade mines.tra appertamen.to capuscola taglia for.falla medaglietta caffettiera strin.ga ge.sse.tto cartoncino cassaforte,0 1 0 0 1 0 1 1 1 1 1 1,sounding_out,{str.}strade minestra appertamento capo.scuola taglia forfalla meda.glietta caffettiera strin.ga ges.setto cartoncino cassaforte,0 1 0 1 1 0 1 1 1 1 1 1,sounding_out,a j n k s t r ɛ j d[PAD]m i n ɛ s t r a[PAD]a p p e r t a m e n t o[PAD]k a p o u ˈe n k a s k w ɔ l a[PAD]t a ʎ ʎ a[PAD]f o r f a l l a[PAD]m ɛ d a u n k l j ɛ t t a[PAD]k a f f e t t j ɛ r a[PAD]s t r i n u n k a[PAD]d͡ʒ e z u n k s ɛ t t o[PAD]k a r t o n t͡ʃ i n o[PAD]k a s s a f ɔ r t e
1001_edugame2023_e0304994bb364a74a1068abe1c1c0b9b_a5aa5d09a934494798b7d4cd1e465745.wav,1001,WORD,it,B,config_B_easy_2,diva;notte;barile;basilico;radio;anca;cofano;candito;bivio;fatto;attesa;candidato,ˈdiva;ˈnɔtte;baˈrile;basiˈliko;ˈradjo;ˈanka;ˈkofano;kanˈdito;ˈbivjo;ˈfatto;atˈtesa;kandiˈdato,diva notte barile basilico radio anca cofa.no candito pivio fatto attesa candida.to,1 1 1 1 1 1 1 1 0 1 1 1,sounding_out,diva notte barile basilico radio anca co.fano can.dito pivio fatto attesa candi.da.to,1 1 1 1 1 1 1 1 0 1 1 1,sounding_out,d i v a[PAD]n ɔ t t e[PAD]b a r i l e[PAD]b a z i l i k o[PAD]r a d j o[PAD]a n k a[PAD]k o u n k f a n o[PAD]k a n i n k d i t o[PAD]p i v j o[PAD]f a t t o[PAD]a t t e z a[PAD]k a n d i u n k d a j u n k t u
1001_edugame2023_e0304994bb364a74a1068abe1c1c0b9b_bc7f2bfb641b4db5babb6154f517455d.wav,1001,WORD,it,B,config_B_easy_1,caso;fame;vicino;domenica;meno;bava;nuvola;signora;ecco;foga;estate;ospedale,ˈkazo;ˈfame;viˈtʃino;domeˈnika;ˈmeno;ˈbava;ˈnuvola;siɲˈɲora;ˈekko;ˈfoɡa;esˈtate;ospeˈdale,casa fame picino domenica meno bava nuvola si.gnora ecco foga {s.}estate ospedale,0 1 0 1 1 1 1 1 1 1 1 1,sounding_out,casa fame vicino domenica me.no bava nuvola signora ecco foga {es.}estate ospedale,0 1 1 1 1 1 1 1 1 1 1 1,sounding_out,k a z a[PAD]f a m e[PAD]v i t͡ʃ i n o[PAD]d o m e n i k a[PAD]m e u n k n o[PAD]b a v a[PAD]n u v o l a[PAD]s i ɲ ɲ o r a[PAD]ɛ k k o[PAD]f ɔ ɡ a[PAD]u n k e s t a t e[PAD]o s p e d a l e
1001_edugame2023_e0304994bb364a74a1068abe1c1c0b9b_f512961e99cf43beba231c7e965127b4.wav,1001,WORD,it,B,config_B_complex_1,scarpa;figlio;palestra;fermaglio;strada;branco;compagno;soggiorno;giostra;mostra;castello;acquisto,ˈskarpa;ˈfiʎʎo;paˈlestra;ferˈmaʎʎo;ˈstrada;ˈbraŋko;komˈpaɲo;sodʒˈdʒorno;ˈdʒostra;ˈmostra;kasˈtello;akˈkwisto,scarpa figlio palestra fermaglio strada branco compagno soggiorno giostra mostra castello acquisto,1 1 1 1 1 1 1 1 1 1 1 1,,scarpa figlio palestra fermaglio strada bran.co compagno soggiorno giostra mostra castello acquisto,1 1 1 1 1 1 1 1 1 1 1 1,sounding_out,s k a r p a[PAD]f i ʎ ʎ o[PAD]p a l ɛ s t r a[PAD]f e r m a ʎ ʎ o[PAD]s t r a d a[PAD]b r ɛ n u n k k o[PAD]k o m p a ɲ ɲ o[PAD]s o d d͡ʒ o r n o[PAD]d͡ʒ ɔ s t r a[PAD]m o s t r a[PAD]k a s t ɛ l l o[PAD]a k k w i s t o
1003_edugame2023_02e48270d3904c839ecc760a4b59322b_98b2a3e02bec4c218b8b98e64bf8d392.wav,1003,WORD,it,A,config_A_complex_2,strofa;ministra;inquinamento;caposquadra;tiglio;fantasma;motocicletta;caffelatte;strillo;rossetto;cartellone;cassapanca,ˈstrofa;miˈnistra;inkwinaˈmento;kaposˈkwadra;ˈtiʎʎo;fanˈtazma;motoʧiˈletta;kafˈfelatte;ˈstrillo;rosˈsetto;kartelˈlone;kassaˈpanka,{s.}strofa {nes.mi.}minis.tra inqui.namento caposquala tiglio fantasma motocicletta caffelatte strillo rossetto cartellone cassapanca,1 1 1 0 1 1 1 1 1 1 1 1,sounding_out,{st.}strofa {mines.mi.}ministra inqui.namento caposquala tiglio fantasma motocicletta caffelatte strillo rossetto cartellone cassapanca,1 1 1 0 1 1 1 1 1 1 1 1,sounding_out self_correction,u n k s t r ɔ f a[PAD]u n k m i n i s t r a[PAD]i n k w i u n k n a m e n t o[PAD]k a p o s k w a l a[PAD]t i ʎ ʎ o[PAD]f a n t a z m a[PAD]m ɔ t o t͡ʃ i k l e t t a[PAD]k a f f e l a t[PAD]s t r i l l o[PAD]r o s s e t t o[PAD]k a r t e l l o n e[PAD]k a s s a p a n k a
1003_edugame2023_02e48270d3904c839ecc760a4b59322b_d2a3c3d085c14e1da01bb4d53ed5f19a.wav,1003,WORD,it,A,config_A_easy_2,diga;gatto;badile;bonifico;linea;alba;cometa;pentito;tizio;patto;offesa;calderone,ˈdiɡa;ˈɡatto;baˈdile;boˈnifiko;ˈlinea;ˈalba;koˈmeta;penˈtito;ˈtittsjo;ˈpatto;ofˈfesa;kaldeˈrone,diga gatto badile bonifico linea alba cometa pen.tito tizio patto offesa {calda.}calderone,1 1 1 1 1 1 1 1 1 1 1 1,sounding_out,{comments} diga gatto badile bonifico linea alba cometa pentito tizio patto offesa {caldo.}calde.rone,1 1 1 1 1 1 1 1 1 1 1 1,sounding_out,a n k[PAD]d i ɡ a[PAD]ɡ a t t o[PAD]b a d i l e[PAD]b o n i f i k o[PAD]l i n e a[PAD]a l b a[PAD]k o m ɛ t a[PAD]p e n t i t o[PAD]t i t t͡s j o[PAD]p a t t o[PAD]o f f e z a[PAD]a n k a l d j u n k r ɔ n e
1003_edugame2023_02e48270d3904c839ecc760a4b59322b_d55bad000d034aa2a55ef3da422b85c3.wav,1003,WORD,it,A,config_A_easy_1,naso;pane;lavoro;telefono;mano;fava;natura;persona;anno;foce;angolo;personale,ˈnazo;ˈpane;lavˈoro;teˈlɛfono;ˈmano;ˈfava;naˈtura;perˈsona;ˈanno;ˈfotʃe;ˈaŋgolo;persoˈnale,naso pane lavoro telefono mano fava natura persona anno foce angolo {pers.s.}personale,1 1 1 1 1 1 1 1 1 1 1 1,sounding_out,naso pane lavoro telefono mano fava natura persona anno foce angolo {pers}personale,1 1 1 1 1 1 1 1 1 1 1 1,sounding_out,n a z o[PAD]p a n e[PAD]l a v o r o[PAD]t e l ɛ f o n o[PAD]m a n o[PAD]f a v a[PAD]n a t u r a[PAD]p e r s o n a[PAD]a n n o[PAD]f o t͡ʃ e[PAD]a n ɡ o l o[PAD]u n k
1003_edugame2023_02e48270d3904c839ecc760a4b59322b_fb0cd2892d1144c088b642c70c96010a.wav,1003,WORD,it,A,config_A_complex_1,frutta;foglia;finestra;ventaglio;strega;pronto;campagna;buongiorno;destra;lastra;cappello;sciacquo,ˈfrutta;ˈfoʎʎa;fiˈnestra;venˈtaʎʎo;ˈstreɡa;ˈpronto;kamˈpaɲɲa;buonˈdʒorno;ˈdestra;ˈlastra;kapˈpello;ʃakˈkwo,frutta foglia finestra ventals strega pronto {compagni.}compagna buongiorno deslra lastra cappello scia.cquo,1 1 1 0 1 1 0 1 0 1 1 1,sounding_out,frutta foglia finestra ventaglio {str.}strega pronto {compagni.}compagna buongiorno destra las.tra cappello scia.cquo,1 1 1 1 1 1 0 1 1 1 1 1,sounding_out,f r u t t a[PAD]f ɔ ʎ ʎ a[PAD]f i n ɛ s t r a[PAD]v e n t a ʎ ʎ o[PAD]u n k s t r ɛ ɡ a[PAD]p r o n t o[PAD]a j n k e k o m p a ɲ ɲ a[PAD]b w ɔ n d͡ʒ o r n o[PAD]d ɛ s t r a[PAD]l a z u n k t r a[PAD]k a p p ɛ l l o[PAD]ʃ a u n k k w o
