file_name,segments,len_segments
3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_3eff2b8d9be54f24aaa5f0bf3ef81c50.wav,"[['Mont些點ipence', [10.46, 11.16]]]",1
3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_6a766174281f410680ecd058a69e4b98.wav,"[['Habitale', [0.0, 1.32]]]",1
3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_72b5a272edaf4d49828bc07b99d89501.wav,"[[""L'HTMLетаille"", [2.66, 5.46]]]",1
3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_81fde63f5c1a4b77a0bc9ee5c2e4b9d8.wav,"[['Aennari', [0.0, 2.9]]]",1
3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_b404a514e2354e7e8b3e4c436fed164c.wav,"[['shit', [0.0, 0.02]]]",1
3101_edugame2023_1c148def3c254026adc7a7fdc3edc6f6_b5bbc9668f3f493dbd126f9f07039703.wav,"[['Adieu', [0.0, 1.26]]]",1
3101_edugame2023_757fce9b288549d5958f957d4b181073_60e12fad83bb4640b7d5b929b27aaa82.wav,"[['Animaux', [0.0, 1.5]]]",1
3101_edugame2023_757fce9b288549d5958f957d4b181073_715b7be1c9714cbfac93d2d1e58e6cce.wav,"[['Beuval', [0.0, 1.14]]]",1
3101_edugame2023_757fce9b288549d5958f957d4b181073_8321d59f328b444bb46207accaa000bf.wav,"[['清', [0.0, 0.6]]]",1
3101_edugame2023_757fce9b288549d5958f957d4b181073_d0590ab06f2841b5ba91558f109fc69f.wav,"[['Abitol', [0.0, 1.84]]]",1
3101_edugame2023_757fce9b288549d5958f957d4b181073_d1796c83c1314866aeefe5572523a195.wav,"[['enrecière', [0.0, 2.06]]]",1
3101_edugame2023_757fce9b288549d5958f957d4b181073_d6cf636cbd5d4454bd456ce2116763fc.wav,"[['au究', [0.0, 0.42]]]",1
3101_edugame2023_757fce9b288549d5958f957d4b181073_ee02435caa8b42179ef739a579471f7b.wav,"[['Clash', [7.82, 9.22]]]",1
3102_edugame2023_752a81c0c3b2479f94c31f988fc4c402_1cb5e05e6d7944d29d37f069675e0ec3.wav,"[['Aurevoir', [0.0, 2.1]]]",1
3102_edugame2023_752a81c0c3b2479f94c31f988fc4c402_44095b4902b745c9b09bf7e16d787f2c.wav,"[['Les', [0.0, 2.6]]]",1
3102_edugame2023_752a81c0c3b2479f94c31f988fc4c402_4a0a638918194b8f97d255428614c269.wav,"[['Andțoo', [2.72, 4.12]]]",1
3102_edugame2023_752a81c0c3b2479f94c31f988fc4c402_5934887c96ba416ab0d2ad0dea32bd0f.wav,"[['Loomie', [0.0, 2.38]]]",1
3102_edugame2023_752a81c0c3b2479f94c31f988fc4c402_99c9a0dfc4c649f9901a643cdfe368c7.wav,"[['ARAVAN', [1.76, 3.16]]]",1
3102_edugame2023_752a81c0c3b2479f94c31f988fc4c402_9b5b3aca4b344927bc7c889fca2fa7fc.wav,"[['àpeu', [0.0, 2.08]]]",1
3102_edugame2023_752a81c0c3b2479f94c31f988fc4c402_a63c192344144f8fbb4d2a3218f7d486.wav,"[['autoporn', [0.0, 2.38]]]",1
3102_edugame2023_752a81c0c3b2479f94c31f988fc4c402_ab0071571e0c418ab06aa1fbd74f8b9b.wav,"[['Labête', [0.0, 1.72]]]",1
3102_edugame2023_752a81c0c3b2479f94c31f988fc4c402_c478cf94d1684123927f9810c3b018c8.wav,"[['Routal', [0.0, 2.16]]]",1
3102_edugame2023_def8b99c5ec545f188e30f5056b96a24_48f3ba4a57384f26b503fbd74923e2a5.wav,"[['Ànuage', [0.0, 2.26]]]",1
3102_edugame2023_def8b99c5ec545f188e30f5056b96a24_56b23f4aa776472889ff12baa66eeec9.wav,"[['Vposted', [1.76, 2.1]]]",1
3102_edugame2023_def8b99c5ec545f188e30f5056b96a24_6c841b9e3bfb49699f96e69140a0dbd4.wav,"[[""L'homme"", [0.0, 1.62]]]",1
3102_edugame2023_def8b99c5ec545f188e30f5056b96a24_8c8a6ef44bfc4ca3aa2aa28befba3919.wav,"[['Ridô', [0.0, 1.2]]]",1
3102_edugame2023_def8b99c5ec545f188e30f5056b96a24_98666cb18fbf4a89a52f8dbd11960b97.wav,"[['Ajour', [0.0, 1.38]]]",1
3102_edugame2023_def8b99c5ec545f188e30f5056b96a24_a1c214ab8fe84cbdbbb906674d5e1bf0.wav,"[['ARavan', [0.0, 0.98]]]",1
3102_edugame2023_def8b99c5ec545f188e30f5056b96a24_a1f6d7d2c49343529943d1e497087356.wav,"[['Labête', [0.0, 1.02]]]",1
3102_edugame2023_def8b99c5ec545f188e30f5056b96a24_a904b1f36eab45a791f3cc6db8472c6a.wav,"[['H', [0.0, 0.02]]]",1
3102_edugame2023_def8b99c5ec545f188e30f5056b96a24_b0b60983825147cb9b1254cfdb9a4293.wav,"[['àpeu', [0.0, 1.72]]]",1
3103_edugame2023_4cdb2baccd9341c89a743a854bf7a985_0b0ed39020ec4371b7efdcf03a83fc5d.wav,"[['Patule', [0.0, 1.7]]]",1
