,file_name,trial_answer_coder2_phoneme
0,1001_edugame2023_59aa8ecf74c44db2adf56d71d1705cf5_1de23ac3deaf4b4d8c7db6d0cc9d6bfe.wav,vuzo[PAD]seɡa[PAD]klofɛno[PAD]raviʎo[PAD]da[PAD]pe[PAD]tarse[PAD]doridzːa[PAD]prateʎa[PAD]aː[PAD]ɛrɾe[PAD]lo[PAD]beɲole[PAD]fla[PAD]vɛstro[PAD]kʊɲaripːo
1,1001_edugame2023_59aa8ecf74c44db2adf56d71d1705cf5_d9392071a39547488ad68ac4a108751d.wav,istro[PAD]bis[PAD]mɔɡːo[PAD]sir[PAD]fɛlo[PAD]ne[PAD]ketːinare[PAD]bɔrte[PAD]fonedʒːo[PAD]kaʎɪ[PAD]da[PAD]bo[PAD]pakːetːante[PAD]bipːo[PAD]eɲamiza[PAD]naɡrɔsto[PAD]fʊʃapːole
2,1001_edugame2023_e0304994bb364a74a1068abe1c1c0b9b_6757c2f99a654cb2b24b714018a5dc95.wav,[PAD][UNK][PAD]strade[PAD]minɛstra[PAD]apːertamento[PAD]kapo[PAD]skʊɔla[PAD]taʎa[PAD]forfalla[PAD]meda[PAD]ʎetːa[PAD]kaffetːiɛra[PAD]strin[PAD]ɡa[PAD]dʒes[PAD]setːo[PAD]kartontʃino[PAD]kassafɔrte
3,1001_edugame2023_e0304994bb364a74a1068abe1c1c0b9b_a5aa5d09a934494798b7d4cd1e465745.wav,diva[PAD]nɔtːe[PAD]barile[PAD]baziliko[PAD]radio[PAD]anka[PAD]ko[PAD]fano[PAD]kan[PAD]dito[PAD]pivio[PAD]fatːo[PAD]atːeza[PAD]kandɪ[PAD]da[PAD]to
4,1001_edugame2023_e0304994bb364a74a1068abe1c1c0b9b_bc7f2bfb641b4db5babb6154f517455d.wav,kaza[PAD]fame[PAD]vitʃino[PAD]domenika[PAD]me[PAD]nɔ[PAD]bava[PAD]nuvola[PAD]siɲora[PAD]ɛkːo[PAD]foɡa[PAD][PAD][UNK][PAD]estate[PAD]ospedale
5,1001_edugame2023_e0304994bb364a74a1068abe1c1c0b9b_f512961e99cf43beba231c7e965127b4.wav,skarpa[PAD]fiʎo[PAD]palɛstra[PAD]fermaʎo[PAD]strada[PAD]bran[PAD]ko[PAD]kompaɲɲo[PAD]sodʒːorno[PAD]dʒɔstra[PAD]mostra[PAD]kastɛllo[PAD]akːwisto
6,1003_edugame2023_02e48270d3904c839ecc760a4b59322b_98b2a3e02bec4c218b8b98e64bf8d392.wav,[PAD][UNK][PAD]strɔfa[PAD][PAD][UNK][PAD]ministra[PAD]inkwɪ[PAD]namento[PAD]kaposkwala[PAD]tiʎo[PAD]fantazma[PAD]mototʃikletːa[PAD]kaffelatːe[PAD]strillo[PAD]rossetːo[PAD]kartellone[PAD]kassapanka
7,1003_edugame2023_02e48270d3904c839ecc760a4b59322b_d2a3c3d085c14e1da01bb4d53ed5f19a.wav,[PAD][UNK][PAD][PAD]diɡa[PAD]ɡatːo[PAD]badile[PAD]bonifiko[PAD]linea[PAD]alba[PAD]kometa[PAD]pentito[PAD]titsio[PAD]patːo[PAD]offeza[PAD][PAD][UNK][PAD]kalde[PAD]rone
8,1003_edugame2023_02e48270d3904c839ecc760a4b59322b_d55bad000d034aa2a55ef3da422b85c3.wav,nazo[PAD]pane[PAD]lavɔro[PAD]telɛfono[PAD]mano[PAD]fava[PAD]natura[PAD]persona[PAD]anno[PAD]fotʃe[PAD]aŋɡolo[PAD][PAD][UNK][PAD]personale
9,1003_edugame2023_02e48270d3904c839ecc760a4b59322b_fb0cd2892d1144c088b642c70c96010a.wav,frutːa[PAD]fɔʎa[PAD]finɛstra[PAD]ventaʎo[PAD][PAD][UNK][PAD]streɡa[PAD]pronto[PAD][PAD][UNK][PAD]kompaɲɲa[PAD]bʊondʒɔrno[PAD]dɛstra[PAD]las[PAD]tra[PAD]kapːɛllo[PAD]ʃia[PAD]kːwo
10,1003_edugame2023_afee4c67a2ee486b9128774880aa2cbf_8d3a9660afa14ee8ba79f06d978ec873.wav,valo[PAD]save[PAD]klofe[PAD]lo[PAD]sonviʎo[PAD]dete[PAD][PAD][UNK][PAD]farde[PAD]porita[PAD]prodiʎa[PAD]antʃɪ[PAD][PAD][UNK][PAD]biɲazo[PAD]flanɛstro[PAD]kɔɲɲa[PAD]ripo
11,1003_edugame2023_afee4c67a2ee486b9128774880aa2cbf_d550a33f9c3f429ab28a439ba4385a4c.wav,ustro[PAD]bizmako[PAD][PAD][UNK][PAD]salvelone[PAD]ketːinere[PAD]bjanka[PAD]lonadʒːo[PAD][PAD][UNK][PAD]ɡaɡplidapo[PAD]makidante[PAD]tukːa[PAD]aɲemiza[PAD]nɔl[PAD]ɡrɛsto[PAD]niʃa[PAD]ko[PAD]pe
12,1004_edugame2023_22c6e16b93254308843337e244303834_a3c0d45a3cd64304887eec980f38e4c2.wav,[PAD][UNK][PAD][PAD]ɔstro[PAD]bizaɡ[PAD]dʒɔ[PAD][PAD][UNK][PAD]sirvelone[PAD][PAD][UNK][PAD]kedinare[PAD]brɔkːa[PAD]bolledʒːo[PAD][PAD][UNK][PAD]kaʎa[PAD]tapːo[PAD]nakipiante[PAD]nutːo[PAD]endʒomersia[PAD][PAD][UNK][PAD]nɔ[PAD]ɡastro[PAD]les[PAD]pa[PAD]kopje[PAD]bu[PAD]lespako[PAD][PAD][UNK][PAD]
13,1004_edugame2023_22c6e16b93254308843337e244303834_c9d5ba788e8c44218a987644c5b9c5f9.wav,[PAD][UNK][PAD]vilo[PAD]sotʃe[PAD][PAD][UNK][PAD]klovɛno[PAD]mun[PAD]viʎo[PAD]depe[PAD]basse[PAD][PAD][UNK][PAD]ko[PAD]ritːa[PAD]pardiʎa[PAD]arvɪ[PAD][PAD][UNK][PAD]binalo[PAD]flʊnɛstro[PAD][PAD][UNK][PAD]koɲapɛrto[PAD][PAD][UNK][PAD]
14,1004_edugame2023_56a711fe2cc04f66b4590a463b9b3d39_00810da89d7f4889b19dfbafaa9afa19.wav,vazo[PAD][PAD][UNK][PAD]patʃe[PAD]kamera[PAD][PAD][UNK][PAD]dʒenitore[PAD]mɛze[PAD][PAD][UNK][PAD]kava[PAD][PAD][UNK][PAD]paɾɔla[PAD]bambino[PAD]ɔdʒːɪ[PAD]fɔka[PAD]aprile[PAD]karnevale
15,1004_edugame2023_56a711fe2cc04f66b4590a463b9b3d39_43f8a6daac55485da57d1d065d12b3cf.wav,praŋdzo[PAD][PAD][UNK][PAD]fɔʎo[PAD]sinistra[PAD][PAD][UNK][PAD]bɛrsa[PAD]ʎɔ[PAD][PAD][UNK][PAD]strano[PAD][PAD][UNK][PAD]prɛtsːo[PAD]montaɲɲa[PAD][PAD][UNK][PAD]medzːodʒɔrno[PAD]maɛstra[PAD][PAD][UNK][PAD]pjastra[PAD]fratɛllo[PAD][PAD][UNK][PAD]
16,1004_edugame2023_56a711fe2cc04f66b4590a463b9b3d39_cf2fe8c6b9ce4ffaa5276b3fb34a4df6.wav,[PAD][UNK][PAD]stratːo[PAD]bɛlle[PAD]stra[PAD]apːʊntamento[PAD][PAD][UNK][PAD]kapoklasse[PAD][PAD][UNK][PAD]vɛʎa[PAD]risposta[PAD][PAD][UNK][PAD]bitʃikletːa[PAD][PAD][UNK][PAD]kaffetːeria[PAD][PAD][UNK][PAD]stirsa[PAD][PAD][UNK][PAD]kassetːo[PAD]kar[PAD]tellino[PAD]passatɛmpo[PAD][PAD][UNK][PAD]
17,1004_edugame2023_56a711fe2cc04f66b4590a463b9b3d39_daf671fdd5c748f097a8693a6f482deb.wav,[PAD][UNK][PAD]duna[PAD]nɔnno[PAD][PAD][UNK][PAD]kanile[PAD][PAD][UNK][PAD]binɔkolo[PAD][PAD][UNK][PAD]batʃo[PAD][PAD][UNK][PAD]alɡa[PAD]kɔditʃe[PAD][PAD][UNK][PAD]ban[PAD][PAD][UNK][PAD]
18,1005_edugame2023_8dfd767088304844bdefc293066cb37a_00db6d9dddae4e42baa036140ba132fa.wav,nazo[PAD]pane[PAD]lavɔro[PAD]telɛfono[PAD]mano[PAD]fava[PAD]natura[PAD]pɛrs[PAD]ona[PAD][PAD][UNK][PAD][PAD]fotʃe[PAD]aŋɡolo[PAD]pɛrs[PAD]on[PAD][PAD][UNK][PAD]
19,1005_edugame2023_8dfd767088304844bdefc293066cb37a_3d7ff13ca8394ba48d595e5dd59120c1.wav,frutːa[PAD]fɔʎa[PAD]finɛstra[PAD][PAD][UNK][PAD]vɛnda[PAD]ʎɔ[PAD][PAD][UNK][PAD]stre[PAD]ɡa[PAD]pron[PAD]to[PAD]kam[PAD]pa[PAD]ɲa[PAD][PAD][UNK][PAD]bwɔn[PAD]dʒorno[PAD]dɛstra[PAD][PAD][UNK][PAD]lastra[PAD]kapːɛllo[PAD]ʃakːwa
20,1005_edugame2023_8dfd767088304844bdefc293066cb37a_6e076a3060664833881b17d6017c6458.wav,diɡa[PAD]ɡatːo[PAD]ba[PAD]di[PAD]le[PAD]bonifiko[PAD]linea[PAD]alba[PAD]ko[PAD]me[PAD]ta[PAD]pɛn[PAD]ti[PAD]to[PAD]titsio[PAD]patːo[PAD][PAD][UNK][PAD][PAD][PAD][UNK][PAD][PAD]offeza[PAD]kalen[PAD][PAD]diɡa[PAD]ɡatːo[PAD]ba[PAD]di[PAD]le[PAD]bonifiko[PAD]linea[PAD]alba[PAD]ko[PAD]me[PAD]ta[PAD]pɛn[PAD]ti[PAD]to[PAD]titsio[PAD]patːo[PAD]offeza[PAD]kal[PAD]de[PAD]rone
21,1005_edugame2023_8dfd767088304844bdefc293066cb37a_8f5c29eba86b47ae8beb0ce0935d5720.wav,strɔfa[PAD]minɛstra[PAD]inkwɪ[PAD]na[PAD]mento[PAD]ka[PAD]po[PAD]skwa[PAD]dra[PAD]ti[PAD]ʎɔ[PAD]fantazma[PAD]mo[PAD]totʃikletːa[PAD]kaffe[PAD]latːe[PAD]strillo[PAD]rossetːo[PAD]kar[PAD]tellone[PAD]kas[PAD]sa[PAD]panka
